restaurant_id,restaurant_name,restaurant_city,cuisine_type,restaurant_rating,avg_delivery_time_min
REST_001,Pasta Palace - Mumbai,Mumbai,North Indian,3.3,26
REST_002,Dosa Corner - Delhi,Delhi,Chinese,4.7,30
REST_003,Green Leaf Cafe - Delhi,Delhi,Rajasthani,4.9,41
REST_004,Noodle Bar - Lucknow,Lucknow,Rajasthani,3.7,21
REST_005,Samosa House - Pune,Pune,Chinese,4.0,47
REST_006,The Food Factory - Bangalore,Bangalore,South Indian,3.3,32
REST_007,The Salad Bowl - Pune,Pune,Mughlai,4.3,54
REST_008,Wrap It Up - Chennai,Chennai,Mexican,3.2,26
REST_009,Wok & Roll - Mumbai,Mumbai,Thai,3.9,51
REST_010,The Food Factory - Bangalore,Bangalore,Continental,2.5,25
REST_011,Egg Factory - Chennai,Chennai,Japanese,4.1,50
REST_012,Biryani Blues - Hyderabad,Hyderabad,North Indian,3.0,38
REST_013,Momos Hub - Delhi,Delhi,Bengali,2.8,45
REST_014,Momos Hub - Ahmedabad,Ahmedabad,Rajasthani,4.2,25
REST_015,Wok & Roll - Jaipur,Jaipur,Chinese,3.4,44
REST_016,Dragon Wok - Kolkata,Kolkata,Fast Food,2.6,48
REST_017,Sushi Station - Ahmedabad,Ahmedabad,Italian,4.6,23
REST_018,Chai Point - Bangalore,Bangalore,Korean,4.2,25
REST_019,Roti Republic - Kolkata,Kolkata,Mughlai,3.5,34
REST_020,The Food Factory - Jaipur,Jaipur,Bengali,3.5,53
REST_021,Green Leaf Cafe - Pune,Pune,Japanese,4.7,50
REST_022,North Indian Kitchen - Lucknow,Lucknow,Italian,3.7,25
REST_023,North Indian Kitchen - Pune,Pune,Bengali,4.3,52
REST_024,North Indian Kitchen - Lucknow,Lucknow,Mughlai,4.5,29
REST_025,Chai Point - Delhi,Delhi,Fast Food,2.9,30
REST_026,Roti Republic - Hyderabad,Hyderabad,Italian,2.8,47
REST_027,Wrap It Up - Delhi,Delhi,Street Food,3.0,29
REST_028,Sushi Station - Lucknow,Lucknow,Continental,4.8,24
REST_029,Wok & Roll - Delhi,Delhi,Mughlai,3.5,40
REST_030,Royal Dhaba - Chennai,Chennai,Fast Food,4.8,20
REST_031,Ice Cream Dream - Lucknow,Lucknow,Mughlai,4.5,27
REST_032,Pizza Planet - Pune,Pune,Chinese,3.9,26
REST_033,Ice Cream Dream - Delhi,Delhi,Mediterranean,2.8,38
REST_034,North Indian Kitchen - Jaipur,Jaipur,Continental,4.7,36
REST_035,Samosa House - Pune,Pune,Fast Food,3.9,50
REST_036,Dragon Wok - Mumbai,Mumbai,Mexican,3.5,45
REST_037,Wok & Roll - Mumbai,Mumbai,Rajasthani,4.7,35
REST_038,Paneer Paradise - Mumbai,Mumbai,Fast Food,4.8,43
REST_039,Dosa Corner - Mumbai,Mumbai,Bengali,4.5,39
REST_040,Egg Factory - Chennai,Chennai,Fast Food,4.6,26
REST_041,Pizza Planet - Hyderabad,Hyderabad,Mexican,4.9,48
REST_042,Sushi Station - Kolkata,Kolkata,Korean,3.5,25
REST_043,Chaat Street - Hyderabad,Hyderabad,Italian,4.8,46
REST_044,Chai Point - Ahmedabad,Ahmedabad,Mughlai,4.7,23
REST_045,Roti Republic - Jaipur,Jaipur,Chinese,2.7,52
REST_046,Pizza Planet - Pune,Pune,Mediterranean,4.6,21
REST_047,Tandoori Nights - Bangalore,Bangalore,Rajasthani,4.6,23
REST_048,The Food Factory - Hyderabad,Hyderabad,Fast Food,2.6,43
REST_049,Sushi Station - Hyderabad,Hyderabad,Continental,4.6,52
REST_050,Samosa House - Pune,Pune,Rajasthani,2.8,21
REST_051,Kebab King - Hyderabad,Hyderabad,Fast Food,4.0,31
REST_052,Ice Cream Dream - Ahmedabad,Ahmedabad,Mughlai,3.4,30
REST_053,Paneer Paradise - Chennai,Chennai,Bengali,4.2,38
REST_054,Wok & Roll - Mumbai,Mumbai,North Indian,2.9,33
REST_055,Samosa House - Hyderabad,Hyderabad,Italian,4.2,37
REST_056,Royal Dhaba - Pune,Pune,North Indian,4.7,20
REST_057,Coastal Flavors - Ahmedabad,Ahmedabad,Chinese,4.1,20
REST_058,Sushi Station - Hyderabad,Hyderabad,Thai,4.5,39
REST_059,Grill Master - Chennai,Chennai,Rajasthani,3.4,42
REST_060,Sushi Station - Ahmedabad,Ahmedabad,Italian,3.7,53
REST_061,Wok & Roll - Lucknow,Lucknow,Thai,2.8,52
REST_062,Green Leaf Cafe - Kolkata,Kolkata,Japanese,4.0,38
REST_063,Wrap It Up - Chennai,Chennai,South Indian,3.7,41
REST_064,Samosa House - Chennai,Chennai,Continental,4.7,36
REST_065,Tandoori Nights - Chennai,Chennai,Chinese,3.8,35
REST_066,Roti Republic - Mumbai,Mumbai,Bengali,4.5,45
REST_067,Wrap It Up - Kolkata,Kolkata,Chinese,4.3,51
REST_068,Sushi Station - Chennai,Chennai,Rajasthani,3.5,44
REST_069,Ice Cream Dream - Mumbai,Mumbai,Korean,5.0,32
